name	category	intro	formula	top_ex_annual_cost	top_ex_annual_free	erosion	bottom_ex_annual_cost	ls_annual_cost	ic_mean	ir	sharpe_top_cost	maxdd_top_cost	turnover_top
ROC20	动量类因子	20日变动速率（Price Rate of Change）	①AX=今天的收盘价—20天前的收盘价 ②BX=20天前的收盘价 ③ROC=AX/BX*100	-27.74	-14.88	-12.86	-16.93	-85.95	-0.026379	-0.174807	-0.895944	48.56	18.21
CCI15	动量类因子	15日顺势指标	CCI:=(TYP-MA(TYP,N))/(0.015*AVEDEV(TYP,N)); TYP:=(HIGH+LOW+CLOSE)/3; N:=15	-27.96	-6.86	-21.10	-24.31	-84.44	-0.021769	-0.156626	-1.022695	48.73	28.57
EMAC10	技术指标因子	10日指数移动均线	10日指数移动均线 / 今日收盘价	-28.23	-4.89	-23.33	-34.79	-82.51	0.027942	0.179079	-0.883861	55.21	31.30
MAC10	技术指标因子	10日移动均线	10日移动均线 / 今日收盘价	-28.41	-6.97	-21.44	-32.75	-83.05	0.025595	0.166855	-0.886878	53.50	29.14
DAVOL5	情绪类因子	5日平均换手率与120日平均换手率	5日平均换手率 / 120日平均换手率	-28.56	-18.11	-10.45	-14.49	-86.10	-0.02868	-0.293368	-0.970926	50.07	15.18
PSY	情绪类因子	心理线指标	n日内连续上涨的天数/n *100。 本因子的计算窗口为12日。	-28.85	-10.84	-18.01	-23.27	-84.89	-0.011681	-0.113101	-1.106895	50.45	25.08
ROC12	动量类因子	12日变动速率（Price Rate of Change）	①AX=今天的收盘价—12天前的收盘价 ②BX=12天前的收盘价 ③ROC=AX/BX*100	-28.95	-12.70	-16.25	-21.70	-85.44	-0.023607	-0.158309	-0.966291	50.70	22.90
VOSC	情绪类因子	成交量震荡	'VEMA12'和'VEMA26'两者的差值，再求差值与'VEMA12'的比，最后将比值放大100倍，得到VOSC值	-29.00	-17.61	-11.39	-17.53	-85.67	-0.028291	-0.270215	-1.029483	50.96	16.54
Price1M	动量类因子	当前股价除以过去一个月股价均值再减1	当日收盘价 / mean(过去一个月(21天)的收盘价) -1	-29.33	-13.68	-15.65	-18.27	-85.75	-0.028262	-0.181587	-0.977017	51.63	22.23
bear_power	动量类因子	空头力道	(最低价-EMA(close,13)) / close	-29.70	-8.69	-21.02	-26.23	-84.24	-0.011076	-0.069704	-1.043803	52.32	29.10
BIAS20	动量类因子	20日乖离率	（收盘价-收盘价的N日简单平均）/ 收盘价的N日简单平均*100，在此n取20	-29.76	-13.92	-15.85	-18.97	-85.72	-0.02764	-0.177796	-0.994931	52.48	22.62
VMACD	情绪类因子	成交量指数平滑异同移动平均线	快的指数移动平均线（EMA12）减去慢的指数移动平均线（EMA26）得到快线DIFF, 由DIFF的M日移动平均得到DEA，由DIFF-DEA的值得到MACD	-29.91	-11.41	-18.50	-20.06	-84.89	-0.013189	-0.146605	-1.051098	52.56	26.03
Volume1M	动量类因子	当前交易量相比过去1个月日均交易量 与过去过去20日日均收益率乘积	当日交易量 / 过去20日交易量MEAN * 过去20日收益率MEAN	-32.77	-16.18	-16.59	-22.27	-85.89	-0.02859	-0.196896	-1.078413	58.33	24.52
BIAS10	动量类因子	10日乖离率	（收盘价-收盘价的N日简单平均）/ 收盘价的N日简单平均*100，在此n取10	-32.81	-10.76	-22.05	-27.97	-84.63	-0.025527	-0.166313	-1.119335	58.07	31.56
CCI10	动量类因子	10日顺势指标	CCI:=(TYP-MA(TYP,N))/(0.015*AVEDEV(TYP,N)); TYP:=(HIGH+LOW+CLOSE)/3; N:=10	-32.95	-7.81	-25.14	-30.81	-84.23	-0.018683	-0.136206	-1.256836	58.34	35.42
PLRC6	动量类因子	6日收盘价格与日期线性回归系数	计算 6 日收盘价格，与日期序号（1-6）的线性回归系数，(close / mean(close)) = beta * t + alpha	-33.08	-13.23	-19.85	-29.42	-84.72	-0.020661	-0.138679	-1.125792	58.76	28.88
bull_power	动量类因子	多头力道	(最高价-EMA(close,13)) / close	-33.20	-12.98	-20.22	-25.99	-85.12	-0.030058	-0.201522	-1.098536	58.87	29.40
WVAD	情绪类因子	威廉变异离散量	(收盘价－开盘价)/(最高价－最低价)×成交量，再做加和，使用过去6个交易日的数据	-34.66	-13.38	-21.28	-25.21	-85.84	-0.018491	-0.16661	-1.28916	61.34	31.34
ROC6	动量类因子	6日变动速率（Price Rate of Change）	①AX=今天的收盘价—6天前的收盘价 ②BX=6天前的收盘价 ③ROC=AX/BX*100	-34.81	-13.34	-21.47	-27.04	-85.70	-0.025915	-0.174416	-1.207713	61.65	31.65
single_day_VPT_6	动量类因子	单日价量趋势6日均值	MA(single_day_VPT, 6)	-35.49	-16.38	-19.11	-27.32	-85.80	-0.02388	-0.199451	-1.268851	62.73	28.84
EMA5	技术指标因子	5日指数移动均线	5日指数移动均线 / 今日收盘价	-38.14	-9.25	-28.90	-40.53	-83.50	0.0262	0.174234	-1.268328	68.79	42.61
MAC5	技术指标因子	5日移动均线	5日移动均线 / 今日收盘价	-38.84	-10.07	-28.77	-39.26	-83.99	0.024008	0.164628	-1.295645	69.35	42.86
BIAS5	动量类因子	5日乖离率	（收盘价-收盘价的N日简单平均）/ 收盘价的N日简单平均*100，在此n取5	-39.55	-9.22	-30.34	-38.99	-83.66	-0.024007	-0.164503	-1.375275	69.19	45.22
VROC12	情绪类因子	12日量变动速率指标	成交量减N日前的成交量，再除以N日前的成交量，放大100倍，得到VROC值 ，n=12	-43.66	-11.88	-31.78	-41.04	-84.68	-0.022931	-0.258887	-1.694341	74.89	49.70
VROC6	情绪类因子	6日量变动速率指标	成交量减N日前的成交量，再除以N日前的成交量，放大100倍，得到VROC值 ，n=6	-48.75	-15.25	-33.50	-43.97	-85.38	-0.019499	-0.217759	-1.913313	80.87	55.89
single_day_VPT	动量类因子	单日价量趋势	（今日收盘价 - 昨日收盘价）/ 昨日收盘价 * 当日成交量 # (复权方法为基于当日前复权)	-54.97	-12.22	-42.75	-51.47	-84.74	-0.021693	-0.1845	-2.105358	86.85	74.16
