name	category	intro	formula	top_ex_annual_cost	top_ex_annual_free	erosion	bottom_ex_annual_cost	ls_annual_cost	ic_mean	ir	sharpe_top_cost	maxdd_top_cost	turnover_top
EMAC120	技术指标因子	120日指数移动均线	120日指数移动均线 / 今日收盘价	-10.56	-1.38	-9.18	-24.53	-81.23	0.018032	0.114003	-0.204534	35.63	10.86
leverage	风险因子 - 风格因子	杠杆因子	0.38 * 市场杠杆 + 0.35 * 资产负债率 + 0.27 * 账面杠杆	-10.56	-9.58	-0.97	-7.50	-84.49	0.013703	0.092479	-0.257857	20.50	1.20
daily_standard_deviation	风险因子 - 风格因子	日收益率标准差	sqrt(sum(w_t*(r_t - r_mean)**2))，其中r_t为过去252个交易日的日收益率，w_t为半衰期为42个交易日的指数权重，满足w(t-42)=0.5*w(t)	-10.57	-7.66	-2.91	-1.33	-84.85	-0.046505	-0.150941	-0.138634	40.31	3.56
equity_to_fixed_asset_ratio	质量类因子	股东权益与固定资产比率	股东权益与固定资产比率=股东权益/(固定资产+工程物资+在建工程)	-10.68	-9.59	-1.09	-2.61	-85.17	0.000174	0.002394	-0.212688	26.03	1.34
share_turnover_monthly	风险因子 - 风格因子	月换手率	ln(sum(turn_over_ratio))，turn_over_ratio为过去21个交易日的换手率	-10.86	-7.67	-3.19	-6.50	-84.04	-0.038606	-0.15061	-0.153019	40.89	3.91
debt_to_assets	风险因子 - 风格因子	资产负债率	总负债账面价值 / 总资产账面价值	-10.95	-9.90	-1.06	-8.03	-84.28	0.009194	0.0761	-0.252231	25.91	1.31
profit	风险因子 - 新风格因子	盈利能力因子	0.25 * asset_turnover + 0.25 * return_on_assets + 0.25 * gross_profitability_margin + 0.25 * gross_profitability	-11.00	-10.13	-0.87	-10.54	-83.74	-0.010936	-0.080956	-0.247808	25.03	1.08
MAC120	技术指标因子	120日移动均线	120日移动均线 / 今日收盘价	-11.39	-3.75	-7.64	-20.66	-82.39	0.017651	0.114462	-0.244958	33.69	9.19
fixed_assets_turnover_rate	质量类因子	固定资产周转率	等于过去12个月的营业收入/过去12个月的平均（固定资产+工程物资+在建工程）	-11.47	-10.26	-1.21	-4.47	-84.95	0.000514	0.007895	-0.26188	23.81	1.51
ROC120	动量类因子	120日变动速率（Price Rate of Change）	①AX=今天的收盘价—20天前的收盘价 ②BX=60天前的收盘价 ③ROC=AX/BX*100	-11.51	-3.38	-8.13	-11.37	-83.58	-0.008843	-0.060075	-0.228569	28.90	9.78
operating_profit_to_total_profit	质量类因子	经营活动净收益/利润总额	经营活动净收益/利润总额	-12.35	-10.16	-2.19	-13.89	-83.18	-0.000309	-0.006407	-0.302782	25.37	2.74
invest_income_associates_to_total_profit	质量类因子	对联营和合营公司投资收益/利润总额	对联营和营公司投资收益/利润总额	-12.50	-10.40	-2.10	-10.28	-84.06	0.006315	0.115249	-0.332498	27.03	2.63
ATR6	情绪类因子	6日均幅指标	真实振幅的6日移动平均	-12.73	-7.54	-5.19	-10.38	-83.63	-0.015456	-0.162307	-0.283467	28.98	6.43
MAC60	技术指标因子	60日移动均线	60日移动均线 / 今日收盘价	-13.12	-3.14	-9.98	-25.11	-81.62	0.023704	0.147199	-0.300621	36.13	12.09
quality_v2		质量因子		-13.76	-11.30	-2.46	-6.61	-84.89	0.001461	0.012741	-0.382863	27.58	3.13
TVMA20	情绪类因子	20日成交金额的移动平均值	20日成交金额的移动平均值	-13.84	-10.17	-3.67	-8.43	-84.16	-0.028592	-0.177354	-0.305253	31.78	4.64
ltrevrsl	风险因子 - 新风格因子	长期反转因子	0.46 * long_term_historical_alpha + 0.54 * long_term_relative_strength	-13.91	-12.09	-1.82	-2.92	-85.57	-0.004086	-0.03567	-0.351455	28.79	2.32
money_flow_20	情绪类因子	20日资金流量	用收盘价、最高价及最低价的均值乘以当日成交量即可得到该交易日的资金流量	-13.92	-10.24	-3.68	-8.61	-84.14	-0.028606	-0.17747	-0.308347	31.72	4.65
Skewness120	风险类因子	个股收益的120日偏度	取121个交易日的收盘价数据，计算日收益率，再计算其偏度	-13.95	-10.30	-3.65	-6.48	-84.77	-0.020756	-0.223475	-0.341209	29.49	4.62
Price1Y	动量类因子	当前股价除以过去一年股价均值再减1	当日收盘价 / mean(过去一年(250天)的收盘价) -1	-14.18	-6.50	-7.67	-10.74	-84.03	-0.007963	-0.052022	-0.344289	29.37	9.52
Variance120	风险类因子	120日收益方差	取121个交易日的收盘价，算出日收益率，再取方差	-14.50	-11.65	-2.85	-4.09	-85.00	-0.037259	-0.188115	-0.293781	35.37	3.64
VOL20	情绪类因子	20日平均换手率	20日换手率的均值,单位为%	-15.31	-11.74	-3.56	-7.99	-84.45	-0.032779	-0.19869	-0.326067	36.15	4.58
long_term_predicted_earnings_growth	风险因子 - 风格因子	预期长期盈利增长率	分析师预测未来3-5年盈利增长率	-15.61	-12.38	-3.23	-12.87	-83.94	0.000547	0.004636	-0.533361	26.28	4.18
VEMA26	情绪类因子	成交量的26日指数移动平均		-15.70	-13.47	-2.23	-2.86	-85.57	-0.013466	-0.181552	-0.409996	33.08	2.90
sharpe_ratio_120	风险类因子	120日夏普比率	（Rp - Rf） / Sigma p 其中，Rp是个股的年化收益率，Rf是无风险利率（在这里设置为0.04），Sigma p是个股的收益波动率（标准差）	-15.73	-7.45	-8.28	-14.41	-83.68	-0.013271	-0.098967	-0.418066	27.80	10.42
VEMA12	情绪类因子	12日成交量的移动平均值		-16.07	-12.84	-3.23	-2.60	-85.65	-0.015755	-0.21409	-0.427189	31.86	4.19
Skewness60	风险类因子	个股收益的60日偏度	取61个交易日的收盘价数据，计算日收益率，再计算其偏度	-16.21	-10.84	-5.37	-10.91	-84.53	-0.02131	-0.244163	-0.451675	30.96	6.91
VSTD20	情绪类因子	20日成交量标准差	20日成交量去标准差	-16.27	-12.44	-3.83	-2.37	-85.83	-0.019743	-0.259606	-0.445436	31.24	4.98
Variance60	风险类因子	60日收益方差	取61个交易日的收盘价，算出日收益率，再取方差	-16.34	-12.63	-3.71	-3.10	-85.49	-0.040258	-0.209611	-0.351821	39.65	4.83
cumulative_range	风险因子 - 风格因子	收益离差	ln(1+Z_max)-ln(1+Z_min)，其中Z_t=cumsum(ln(1+r_t))，t=1,2,...,12，r_t为向前推t个月的月收益	-16.63	-9.74	-6.90	-14.68	-84.23	-0.036538	-0.145876	-0.332723	40.17	8.84
residual_volatility	风险因子 - 风格因子	残差波动因子	0.74 * 日收益率标准差(DASTD) + 0.16 * 收益离差(CMRA) + 0.1 * 残差历史波动率(HSIGMA)，之后将结果和beta因子，市值因子做回归，取残差	-16.71	-12.99	-3.72	-5.39	-85.40	-0.041634	-0.28599	-0.408885	33.64	4.85
